"linha","ano","mes","parlamentar","gasto","valor"
"3145",2015,"12","CAPITAO WAGNER","Serviços de Telecomunicações",1418.25
"3146",2015,"12","CAPITAO WAGNER","Vale-Refeição e Vale-Alimentação",5000
"3147",2015,"12","CARLOMANO MARQUES","Combustíveis e Lubrificantes Automotivos",6000
"3148",2015,"12","CARLOMANO MARQUES","Divulgação das Atividades Parlamentares",8000
"3149",2015,"12","CARLOMANO MARQUES","Passagens Aéreas",3027.81
"3150",2015,"12","CARLOMANO MARQUES","Serviços Técnicos Profissionais",20160
"3151",2015,"12","CARLOMANO MARQUES","Serviços de Telecomunicações",1109.96
"3152",2015,"12","CARLOS FELIPE","Combustíveis e Lubrificantes Automotivos",6000
"3153",2015,"12","CARLOS FELIPE","Convênio com Plano de Saúde",702.06
"3154",2015,"12","CARLOS FELIPE","Divulgação das Atividades Parlamentares",9716
"3155",2015,"12","CARLOS FELIPE","Locação de Aeronaves",3504.6
"3156",2015,"12","CARLOS FELIPE","Locação de Veículos",3268
"3157",2015,"12","CARLOS FELIPE","Passagens Aéreas",1542.97
"3158",2015,"12","CARLOS FELIPE","Passagens Terrestres",913.13
"3159",2015,"12","CARLOS FELIPE","Serviços Gráficos e Editoriais",20048.6
"3160",2015,"12","CARLOS FELIPE","Serviços de Telecomunicações",3566.81
"3161",2015,"12","CARLOS FELIPE","Vale-Refeição e Vale-Alimentação",4000
"3162",2015,"12","CARLOS MATOS","Combustíveis e Lubrificantes Automotivos",3000
"3163",2015,"12","CARLOS MATOS","Divulgação das Atividades Parlamentares",17162.1
"3164",2015,"12","CARLOS MATOS","Locação de Veículos",15700
"3165",2015,"12","CARLOS MATOS","Locação de Veículos para Transporte de Pessoas",740
"3166",2015,"12","CARLOS MATOS","Passagens Aéreas",11018.24
"3167",2015,"12","CARLOS MATOS","Passagens Terrestres",3203.82
"3168",2015,"12","CARLOS MATOS","Serviços Gráficos e Editoriais",23963.96
"3169",2015,"12","CARLOS MATOS","Serviços Técnicos Profissionais",6000
"3170",2015,"12","CARLOS MATOS","Serviços de Comunicação em Geral",23.28
"3171",2015,"12","CARLOS MATOS","Serviços de Telecomunicações",2576.64
"3172",2015,"12","CARLOS MATOS","Vale-Refeição e Vale-Alimentação",5000
"3173",2015,"12","DANNIEL OLIVEIRA","Combustíveis e Lubrificantes Automotivos",6000
"3174",2015,"12","DANNIEL OLIVEIRA","DESPESAS DE TELEPROCESSAMENTO",7800
"3175",2015,"12","DANNIEL OLIVEIRA","Divulgação das Atividades Parlamentares",12600
"3176",2015,"12","DANNIEL OLIVEIRA","Hospedagens",1416.1
"3177",2015,"12","DANNIEL OLIVEIRA","Locação de Veículos",10080
"3178",2015,"12","DANNIEL OLIVEIRA","Passagens Aéreas",1105.59
"3179",2015,"12","DANNIEL OLIVEIRA","Passagens Terrestres",139.95
"3180",2015,"12","DANNIEL OLIVEIRA","Serviços de Comunicação em Geral",101.25
"3181",2015,"12","DANNIEL OLIVEIRA","Serviços de Telecomunicações",640.3
"3182",2015,"12","DANNIEL OLIVEIRA","Vale-Refeição e Vale-Alimentação",5000
"3183",2015,"12","DAVID DURAND","Combustíveis e Lubrificantes Automotivos",6000
"3184",2015,"12","DAVID DURAND","Locação de Veículos",22740
"3185",2015,"12","DAVID DURAND","Passagens Aéreas",3661.95
"3186",2015,"12","DAVID DURAND","Serviços Gráficos e Editoriais",520
"3187",2015,"12","DAVID DURAND","Serviços Técnicos Profissionais",28620
"3188",2015,"12","DAVID DURAND","Serviços de Telecomunicações",1038.88
"3189",2015,"12","DAVID DURAND","Vale-Refeição e Vale-Alimentação",4000
"3190",2015,"12","DR SANTANA","Combustíveis e Lubrificantes Automotivos",4000
"3191",2015,"12","DR SANTANA","Divulgação das Atividades Parlamentares",-3000
"3192",2015,"12","DR SANTANA","Passagens Aéreas",602.64
"3193",2015,"12","DR SANTANA","Serviços de Comunicação em Geral",45.75
"3194",2015,"12","DR SANTANA","Serviços de Telecomunicações",3465.5
"3195",2015,"12","DR SANTANA","Vale-Refeição e Vale-Alimentação",6000
"3196",2015,"12","DR. SARTO","ASSINATURAS DE PERIÓDICOS E ANUIDADES",870
"3197",2015,"12","DR. SARTO","Combustíveis e Lubrificantes Automotivos",6000
"3198",2015,"12","DR. SARTO","Serviços Técnicos Profissionais",60480
"3199",2015,"12","DR. SARTO","Vale-Refeição e Vale-Alimentação",4000
"3200",2015,"12","DRA SILVANA","Combustíveis e Lubrificantes Automotivos",6000
"3201",2015,"12","DRA SILVANA","Passagens Aéreas",10571.97
"3202",2015,"12","DRA SILVANA","Serviços Técnicos Profissionais",35280
"3203",2015,"12","DRA SILVANA","Serviços de Telecomunicações",3252.9
"3204",2015,"12","DRA SILVANA","Vale-Refeição e Vale-Alimentação",5000
"3205",2015,"12","ELMANO","Combustíveis e Lubrificantes Automotivos",6000
"3206",2015,"12","ELMANO","DESPESAS DE TELEPROCESSAMENTO",7240
"3207",2015,"12","ELMANO","Locação de Veículos",4720
"3208",2015,"12","ELMANO","Passagens Terrestres",1304.64
"3209",2015,"12","ELMANO","Serviços Gráficos e Editoriais",6961.92
"3210",2015,"12","ELMANO","Serviços Técnicos Profissionais",12200
"3211",2015,"12","ELMANO","Serviços de Comunicação em Geral",16.94
"3212",2015,"12","ELMANO","Serviços de Telecomunicações",723.16
"3213",2015,"12","ELMANO","Vale-Refeição e Vale-Alimentação",4000
"3214",2015,"12","ELY AGUIAR","Combustíveis e Lubrificantes Automotivos",6000
"3215",2015,"12","ELY AGUIAR","Divulgação das Atividades Parlamentares",8000
"3216",2015,"12","ELY AGUIAR","Serviços Técnicos Profissionais",26640
"3217",2015,"12","EVANDRO LEITAO","Combustíveis e Lubrificantes Automotivos",5000
"3218",2015,"12","EVANDRO LEITAO","Serviços Gráficos e Editoriais",21952
"3219",2015,"12","EVANDRO LEITAO","Serviços Técnicos Profissionais",10980
"3220",2015,"12","EVANDRO LEITAO","Serviços de Telecomunicações",1015.16
"3221",2015,"12","EVANDRO LEITAO","Vale-Refeição e Vale-Alimentação",2000
"3222",2015,"12","FERNANDA PESSOA","Combustíveis e Lubrificantes Automotivos",6000
"3223",2015,"12","FERNANDA PESSOA","DESPESAS DE TELEPROCESSAMENTO",350
"3224",2015,"12","FERNANDA PESSOA","Divulgação das Atividades Parlamentares",6900
"3225",2015,"12","FERNANDA PESSOA","Locação de Veículos",5700
"3226",2015,"12","FERNANDA PESSOA","Serviços Gráficos e Editoriais",6900
"3227",2015,"12","FERNANDA PESSOA","Serviços de Telecomunicações",1212.69
"3228",2015,"12","FERNANDA PESSOA","Vale-Refeição e Vale-Alimentação",5000
"3229",2015,"12","FERNANDO HUGO","Combustíveis e Lubrificantes Automotivos",6000
"3230",2015,"12","FERNANDO HUGO","Serviços Técnicos Profissionais",48160
"3231",2015,"12","FERNANDO HUGO","Serviços de Telecomunicações",3379.67
"3232",2015,"12","FERNANDO HUGO","Vale-Refeição e Vale-Alimentação",2000
"3233",2015,"12","FERREIRA ARAGAO","Combustíveis e Lubrificantes Automotivos",6000
"3234",2015,"12","FERREIRA ARAGAO","Divulgação das Atividades Parlamentares",7850
"3235",2015,"12","FERREIRA ARAGAO","Locação de Veículos",6940
"3236",2015,"12","FERREIRA ARAGAO","Passagens Terrestres",8738.28
"3237",2015,"12","FERREIRA ARAGAO","Serviços Gráficos e Editoriais",15523.2
"3238",2015,"12","FERREIRA ARAGAO","Serviços Técnicos Profissionais",35900
"3239",2015,"12","FERREIRA ARAGAO","Serviços de Telecomunicações",7416.6
"3240",2015,"12","FERREIRA ARAGAO","Vale-Refeição e Vale-Alimentação",5000
"3241",2015,"12","GONY ARRUDA","ASSINATURAS DE PERIÓDICOS E ANUIDADES",519.78
"3242",2015,"12","GONY ARRUDA","Combustíveis e Lubrificantes Automotivos",6000
"3243",2015,"12","GONY ARRUDA","Convênio com Plano de Saúde",2513.95
"3244",2015,"12","GONY ARRUDA","DESPESAS DE TELEPROCESSAMENTO",85.42
"3245",2015,"12","GONY ARRUDA","Locação de Aeronaves",3396
"3246",2015,"12","GONY ARRUDA","Passagens Aéreas",9321.99
"3247",2015,"12","GONY ARRUDA","Seguros em Geral",237
"3248",2015,"12","GONY ARRUDA","Serviços Gráficos e Editoriais",14812
"3249",2015,"12","GONY ARRUDA","Serviços Técnicos Profissionais",52920
"3250",2015,"12","GONY ARRUDA","Serviços de Telecomunicações",6711.55
"3251",2015,"12","GONY ARRUDA","Vale-Refeição e Vale-Alimentação",2000
"3252",2015,"12","HEITOR FERRER","ASSINATURAS DE PERIÓDICOS E ANUIDADES",849.55
"3253",2015,"12","HEITOR FERRER","Combustíveis e Lubrificantes Automotivos",3000
"3254",2015,"12","HEITOR FERRER","Convênio com Plano de Saúde",35.26
"3255",2015,"12","HEITOR FERRER","Divulgação das Atividades Parlamentares",16746.1
"3256",2015,"12","HEITOR FERRER","Serviços Gráficos e Editoriais",34437.6
"3257",2015,"12","HEITOR FERRER","Serviços de Telecomunicações",2048.09
"3258",2015,"12","HEITOR FERRER","Vale-Refeição e Vale-Alimentação",3997
"3259",2015,"12","IVO GOMES","ASSINATURAS DE PERIÓDICOS E ANUIDADES",634.6
"3260",2015,"12","IVO GOMES","DESPESAS DE TELEPROCESSAMENTO",296.4
"3261",2015,"12","IVO GOMES","Divulgação das Atividades Parlamentares",4350
"3262",2015,"12","IVO GOMES","Locação de Aeronaves",19188
"3263",2015,"12","IVO GOMES","Locação de Veículos",11600
"3264",2015,"12","IVO GOMES","Passagens Aéreas",3210.45
"3265",2015,"12","IVO GOMES","Seguros em Geral",595.65
"3266",2015,"12","IVO GOMES","Serviços Gráficos e Editoriais",20476.8
"3267",2015,"12","IVO GOMES","Serviços Técnicos Profissionais",6396
"3268",2015,"12","IVO GOMES","Serviços de Telecomunicações",548.08
"3269",2015,"12","JOAO JAIME","Combustíveis e Lubrificantes Automotivos",6000
"3270",2015,"12","JOAO JAIME","Divulgação das Atividades Parlamentares",8000
"3271",2015,"12","JOAO JAIME","Locação de Veículos",11390
"3272",2015,"12","JOAO JAIME","Passagens Aéreas",542.16
"3273",2015,"12","JOAO JAIME","Serviços Técnicos Profissionais",52920
"3274",2015,"12","JOAO JAIME","Vale-Refeição e Vale-Alimentação",2000
"3275",2015,"12","JOAQUIM NORONHA","Combustíveis e Lubrificantes Automotivos",6000
"3276",2015,"12","JOAQUIM NORONHA","Convênio com Plano de Saúde",362.69
"3277",2015,"12","JOAQUIM NORONHA","Passagens Aéreas",11394.59
"3278",2015,"12","JOAQUIM NORONHA","Serviços Técnicos Profissionais",25740
"3279",2015,"12","JOAQUIM NORONHA","Serviços de Comunicação em Geral",57.46
"3280",2015,"12","JOAQUIM NORONHA","Serviços de Telecomunicações",1374.73
"3281",2015,"12","JOAQUIM NORONHA","Vale-Refeição e Vale-Alimentação",5000
"3282",2015,"12","JOSE ALBUQUERQUE","Combustíveis e Lubrificantes Automotivos",6000
"3283",2015,"12","JOSE ALBUQUERQUE","Convênio com Plano de Saúde",1872.15
"3284",2015,"12","JOSE ALBUQUERQUE","Locação de Aeronaves",11056
"3285",2015,"12","JOSE ALBUQUERQUE","Locação de Veículos",8620
"3286",2015,"12","JOSE ALBUQUERQUE","Seguros em Geral",527.2
"3287",2015,"12","JOSE ALBUQUERQUE","Vale-Refeição e Vale-Alimentação",4000
"3288",2015,"12","JULIO CESAR FILHO","Combustíveis e Lubrificantes Automotivos",6000
"3289",2015,"12","JULIO CESAR FILHO","Divulgação das Atividades Parlamentares",8000
"3290",2015,"12","JULIO CESAR FILHO","Serviços Técnicos Profissionais",13860
"3291",2015,"12","JULIO CESAR FILHO","Serviços de Telecomunicações",1789.84
"3292",2015,"12","JULIO CESAR FILHO","Vale-Refeição e Vale-Alimentação",3000
"3293",2015,"12","LAIS NUNES","Combustíveis e Lubrificantes Automotivos",6000
"3294",2015,"12","LAIS NUNES","Convênio com Plano de Saúde",2899.37
"3295",2015,"12","LAIS NUNES","Divulgação das Atividades Parlamentares",1670
"3296",2015,"12","LAIS NUNES","Locação de Aeronaves",8292
"3297",2015,"12","LAIS NUNES","Locação de Veículos",23910
"3298",2015,"12","LAIS NUNES","Passagens Aéreas",2719.39
"3299",2015,"12","LAIS NUNES","Passagens Terrestres",1834.65
"3300",2015,"12","LAIS NUNES","Serviços Técnicos Profissionais",15794
"3301",2015,"12","LAIS NUNES","Serviços de Telecomunicações",1987.58
"3302",2015,"12","LEONARDO ARAUJO","Combustíveis e Lubrificantes Automotivos",6000
"3303",2015,"12","LEONARDO ARAUJO","Divulgação das Atividades Parlamentares",8000
"3304",2015,"12","LEONARDO ARAUJO","Serviços Gráficos e Editoriais",3901.81
"3305",2015,"12","LEONARDO ARAUJO","Serviços Técnicos Profissionais",10260
"3306",2015,"12","LEONARDO ARAUJO","Serviços de Comunicação em Geral",45.48
"3307",2015,"12","LEONARDO ARAUJO","Vale-Refeição e Vale-Alimentação",5000
"3308",2015,"12","LEONARDO PINHEIRO","Combustíveis e Lubrificantes Automotivos",6000
"3309",2015,"12","LEONARDO PINHEIRO","Divulgação das Atividades Parlamentares",400
"3310",2015,"12","LEONARDO PINHEIRO","Passagens Aéreas",6987.81
"3311",2015,"12","LEONARDO PINHEIRO","Serviços Técnicos Profissionais",34920
"3312",2015,"12","LEONARDO PINHEIRO","Vale-Refeição e Vale-Alimentação",3500
"3313",2015,"12","LUCILVIO GIRAO","ASSINATURAS DE PERIÓDICOS E ANUIDADES",390.6
"3314",2015,"12","LUCILVIO GIRAO","Combustíveis e Lubrificantes Automotivos",6000
"3315",2015,"12","LUCILVIO GIRAO","Serviços Gráficos e Editoriais",3979.22
"3316",2015,"12","LUCILVIO GIRAO","Serviços Técnicos Profissionais",24660
"3317",2015,"12","LUCILVIO GIRAO","Serviços de Telecomunicações",669.16
"3318",2015,"12","LUCILVIO GIRAO","Vale-Refeição e Vale-Alimentação",5000
"3319",2015,"12","MANOEL DUCA","Combustíveis e Lubrificantes Automotivos",6000
"3320",2015,"12","MANOEL DUCA","Convênio com Plano de Saúde",1810.32
"3321",2015,"12","MANOEL DUCA","Divulgação das Atividades Parlamentares",450
"3322",2015,"12","MANOEL DUCA","Serviços Técnicos Profissionais",21240
"3323",2015,"12","MANOEL DUCA","Serviços de Telecomunicações",369.5
"3324",2015,"12","MANOEL DUCA","Vale-Refeição e Vale-Alimentação",1950
"3325",2015,"12","MOISES BRAZ","Combustíveis e Lubrificantes Automotivos",6000
"3326",2015,"12","MOISES BRAZ","DESPESAS DE TELEPROCESSAMENTO",400
"3327",2015,"12","MOISES BRAZ","Divulgação das Atividades Parlamentares",1800
"3328",2015,"12","MOISES BRAZ","Locação de Veículos",18780
"3329",2015,"12","MOISES BRAZ","Passagens Aéreas",1085.65
"3330",2015,"12","MOISES BRAZ","Serviços Gráficos e Editoriais",21748.48
"3331",2015,"12","MOISES BRAZ","Serviços Técnicos Profissionais",32060
"3332",2015,"12","MOISES BRAZ","Serviços de Telecomunicações",4352.22
"3333",2015,"12","MOISES BRAZ","Vale-Refeição e Vale-Alimentação",3480
"3334",2015,"12","NAUMI AMORIM","Combustíveis e Lubrificantes Automotivos",6000
"3335",2015,"12","NAUMI AMORIM","Divulgação das Atividades Parlamentares",7400
"3336",2015,"12","NAUMI AMORIM","Serviços Gráficos e Editoriais",13881
"3337",2015,"12","NAUMI AMORIM","Vale-Refeição e Vale-Alimentação",5000
"3338",2015,"12","NIZO COSTA","Serviços Técnicos Profissionais",10620
"3339",2015,"12","ODILON AGUIAR","Combustíveis e Lubrificantes Automotivos",6000
"3340",2015,"12","ODILON AGUIAR","Convênio com Plano de Saúde",1360.63
"3341",2015,"12","ODILON AGUIAR","Divulgação das Atividades Parlamentares",700
"3342",2015,"12","ODILON AGUIAR","Passagens Aéreas",16282.53
"3343",2015,"12","ODILON AGUIAR","Serviços Técnicos Profissionais",14560
"3344",2015,"12","ODILON AGUIAR","Serviços de Telecomunicações",2446.29
"3345",2015,"12","PROFESSOR TEODORO","ASSINATURAS DE PERIÓDICOS E ANUIDADES",658.58
"3346",2015,"12","PROFESSOR TEODORO","Combustíveis e Lubrificantes Automotivos",6000
"3347",2015,"12","PROFESSOR TEODORO","Divulgação das Atividades Parlamentares",12930
"3348",2015,"12","PROFESSOR TEODORO","Locação de Veículos",6720
"3349",2015,"12","PROFESSOR TEODORO","Passagens Aéreas",1745.83
"3350",2015,"12","PROFESSOR TEODORO","Serviços Técnicos Profissionais",8100
"3351",2015,"12","PROFESSOR TEODORO","Serviços de Comunicação em Geral",2063.12
"3352",2015,"12","PROFESSOR TEODORO","Serviços de Telecomunicações",5401
"3353",2015,"12","PROFESSOR TEODORO","Vale-Refeição e Vale-Alimentação",3773
"3354",2015,"12","RACHEL MARQUES","Combustíveis e Lubrificantes Automotivos",6000
"3355",2015,"12","RACHEL MARQUES","Divulgação das Atividades Parlamentares",14300
"3356",2015,"12","RACHEL MARQUES","Locação de Veículos",1680
"3357",2015,"12","RACHEL MARQUES","Passagens Aéreas",3486.13
"3358",2015,"12","RACHEL MARQUES","Serviços Gráficos e Editoriais",7935
"3359",2015,"12","RACHEL MARQUES","Serviços Técnicos Profissionais",27800
"3360",2015,"12","RACHEL MARQUES","Serviços de Telecomunicações",1512.67
"3361",2015,"12","RACHEL MARQUES","Vale-Refeição e Vale-Alimentação",5000
"3362",2015,"12","RENATO ROSENO","ASSINATURAS DE PERIÓDICOS E ANUIDADES",189.7
"3363",2015,"12","RENATO ROSENO","Combustíveis e Lubrificantes Automotivos",1500
"3364",2015,"12","RENATO ROSENO","Hospedagens",520.5
"3365",2015,"12","RENATO ROSENO","Locação de Veículos",8518
"3366",2015,"12","RENATO ROSENO","Passagens Aéreas",14808.12
"3367",2015,"12","RENATO ROSENO","Passagens Terrestres",2189.21
"3368",2015,"12","RENATO ROSENO","Serviços Gráficos e Editoriais",3369.6
"3369",2015,"12","RENATO ROSENO","Serviços de Comunicação em Geral",137.01
"3370",2015,"12","RENATO ROSENO","Serviços de Telecomunicações",1650.95
"3371",2015,"12","RENATO ROSENO","Vale-Refeição e Vale-Alimentação",4000
"3372",2015,"12","ROBERIO MONTEIRO","Combustíveis e Lubrificantes Automotivos",6000
"3373",2015,"12","ROBERIO MONTEIRO","Divulgação das Atividades Parlamentares",8400
"3374",2015,"12","ROBERIO MONTEIRO","Passagens Aéreas",-7.19
"3375",2015,"12","ROBERIO MONTEIRO","Serviços Gráficos e Editoriais",5004
"3376",2015,"12","ROBERIO MONTEIRO","Serviços Técnicos Profissionais",26460
"3377",2015,"12","ROBERIO MONTEIRO","Serviços de Comunicação em Geral",50.49
"3378",2015,"12","ROBERIO MONTEIRO","Serviços de Telecomunicações",3370.84
"3379",2015,"12","ROBERIO MONTEIRO","Vale-Refeição e Vale-Alimentação",2000
"3380",2015,"12","ROBERTO MESQUITA","Combustíveis e Lubrificantes Automotivos",6000
"3381",2015,"12","ROBERTO MESQUITA","Divulgação das Atividades Parlamentares",6350
"3382",2015,"12","ROBERTO MESQUITA","Locação de Aeronaves",28398.24
"3383",2015,"12","ROBERTO MESQUITA","Locação de Veículos",2110
"3384",2015,"12","ROBERTO MESQUITA","Serviços Gráficos e Editoriais",11856
"3385",2015,"12","ROBERTO MESQUITA","Serviços Técnicos Profissionais",21060
"3386",2015,"12","ROBERTO MESQUITA","Serviços de Comunicação em Geral",81.48
"3387",2015,"12","ROBERTO MESQUITA","Serviços de Telecomunicações",90.54
"3388",2015,"12","ROBERTO MESQUITA","Vale-Refeição e Vale-Alimentação",4000
"3389",2015,"12","SERGIO AGUIAR","Combustíveis e Lubrificantes Automotivos",6000
"3390",2015,"12","SERGIO AGUIAR","Divulgação das Atividades Parlamentares",1200
"3391",2015,"12","SERGIO AGUIAR","Locação de Aeronaves",4902
"3392",2015,"12","SERGIO AGUIAR","Seguros em Geral",1049.81
"3393",2015,"12","SERGIO AGUIAR","Serviços Técnicos Profissionais",20840
"3394",2015,"12","SERGIO AGUIAR","Serviços de Comunicação em Geral",48.28
"3395",2015,"12","SERGIO AGUIAR","Serviços de Telecomunicações",1681.78
"3396",2015,"12","SERGIO AGUIAR","Vale-Refeição e Vale-Alimentação",2580.5
"3397",2015,"12","TIN GOMES","Combustíveis e Lubrificantes Automotivos",6000
"3398",2015,"12","TIN GOMES","Convênio com Plano de Saúde",3268.43
"3399",2015,"12","TIN GOMES","Divulgação das Atividades Parlamentares",7350
"3400",2015,"12","TIN GOMES","Locação de Aeronaves",27822
"3401",2015,"12","TIN GOMES","Passagens Aéreas",7216.75
"3402",2015,"12","TIN GOMES","Serviços Gráficos e Editoriais",1240
"3403",2015,"12","TIN GOMES","Serviços de Telecomunicações",3508.97
"3404",2015,"12","TIN GOMES","Vale-Refeição e Vale-Alimentação",5297
"3405",2015,"12","TOMAZ HOLANDA","Combustíveis e Lubrificantes Automotivos",6000
"3406",2015,"12","TOMAZ HOLANDA","Passagens Aéreas",1282.46
"3407",2015,"12","TOMAZ HOLANDA","Serviços Técnicos Profissionais",9720
"3408",2015,"12","TOMAZ HOLANDA","Vale-Refeição e Vale-Alimentação",4000
"3409",2015,"12","WALTER CAVALCANTE","Combustíveis e Lubrificantes Automotivos",6000
"3410",2015,"12","WALTER CAVALCANTE","Divulgação das Atividades Parlamentares",7000
"3411",2015,"12","WALTER CAVALCANTE","Hospedagens",1215.04
"3412",2015,"12","WALTER CAVALCANTE","Locação de Veículos",1680
"3413",2015,"12","WALTER CAVALCANTE","Passagens Aéreas",8253.76
"3414",2015,"12","WALTER CAVALCANTE","Seguros em Geral",876.93
"3415",2015,"12","WALTER CAVALCANTE","Serviços Gráficos e Editoriais",7732
"3416",2015,"12","WALTER CAVALCANTE","Serviços Técnicos Profissionais",7920
"3417",2015,"12","WALTER CAVALCANTE","Serviços de Comunicação em Geral",13.65
"3418",2015,"12","WALTER CAVALCANTE","Serviços de Telecomunicações",6531.45
"3419",2015,"12","WALTER CAVALCANTE","Vale-Refeição e Vale-Alimentação",4000
"3420",2015,"12","ZE AILTON BRASIL","Combustíveis e Lubrificantes Automotivos",6000
"3421",2015,"12","ZE AILTON BRASIL","Convênio com Plano de Saúde",6945.2
"3422",2015,"12","ZE AILTON BRASIL","Passagens Aéreas",2111.3
"3423",2015,"12","ZE AILTON BRASIL","Serviços Técnicos Profissionais",7200
"3424",2015,"12","ZE AILTON BRASIL","Serviços de Telecomunicações",2180.72
"3425",2015,"12","ZE AILTON BRASIL","Vale-Refeição e Vale-Alimentação",4000
"3426",2016,"01","ADERLANIA NORONHA","Vale-Refeição e Vale-Alimentação",2000
"3427",2016,"01","AGENOR NETO","Vale-Refeição e Vale-Alimentação",3000
"3428",2016,"01","ANTONIO GRANJA","Vale-Refeição e Vale-Alimentação",2800
"3429",2016,"01","AUDIC MOTA","Divulgação das Atividades Parlamentares",3500
"3430",2016,"01","AUDIC MOTA","Seguros em Geral",505.04
"3431",2016,"01","AUDIC MOTA","Vale-Refeição e Vale-Alimentação",4000
"3432",2016,"01","AUGUSTA BRITO","Vale-Refeição e Vale-Alimentação",1850
"3433",2016,"01","BETHROSE","Divulgação das Atividades Parlamentares",8000
"3434",2016,"01","BETHROSE","Vale-Refeição e Vale-Alimentação",1000
"3435",2016,"01","BRUNO GONCALVES","Vale-Refeição e Vale-Alimentação",3000
"3436",2016,"01","BRUNO PEDROSA","DESPESAS DE TELEPROCESSAMENTO",4000
"3437",2016,"01","BRUNO PEDROSA","Vale-Refeição e Vale-Alimentação",2000
"3438",2016,"01","CAPITAO WAGNER","DESPESAS DE TELEPROCESSAMENTO",7500
"3439",2016,"01","CAPITAO WAGNER","Vale-Refeição e Vale-Alimentação",3000
"3440",2016,"01","CARLOS FELIPE","Divulgação das Atividades Parlamentares",8000
"3441",2016,"01","CARLOS FELIPE","Vale-Refeição e Vale-Alimentação",2000
"3442",2016,"01","CARLOS MATOS","Vale-Refeição e Vale-Alimentação",2500
"3443",2016,"01","DANNIEL OLIVEIRA","Vale-Refeição e Vale-Alimentação",4000
"3444",2016,"01","DAVID DURAND","Vale-Refeição e Vale-Alimentação",2000
"3445",2016,"01","DR. SARTO","Vale-Refeição e Vale-Alimentação",3250
"3446",2016,"01","DRA SILVANA","Vale-Refeição e Vale-Alimentação",3000
"3447",2016,"01","ELMANO","DESPESAS DE TELEPROCESSAMENTO",7240
"3448",2016,"01","ELMANO","Vale-Refeição e Vale-Alimentação",2000
"3449",2016,"01","EVANDRO LEITAO","Vale-Refeição e Vale-Alimentação",2000
"3450",2016,"01","FERNANDA PESSOA","Divulgação das Atividades Parlamentares",3000
"3451",2016,"01","FERNANDA PESSOA","Vale-Refeição e Vale-Alimentação",3000
"3452",2016,"01","FERNANDO HUGO","Vale-Refeição e Vale-Alimentação",2000
"3453",2016,"01","FERREIRA ARAGAO","Vale-Refeição e Vale-Alimentação",3000
"3454",2016,"01","HEITOR FERRER","Divulgação das Atividades Parlamentares",8000
"3455",2016,"01","HEITOR FERRER","Vale-Refeição e Vale-Alimentação",1000
"3456",2016,"01","IVO GOMES","Divulgação das Atividades Parlamentares",5800
"3457",2016,"01","IVO GOMES","Seguros em Geral",592.65
"3458",2016,"01","JOAO JAIME","Vale-Refeição e Vale-Alimentação",2000
"3459",2016,"01","JOAQUIM NORONHA","Vale-Refeição e Vale-Alimentação",5000
"3460",2016,"01","JOSE ALBUQUERQUE","Vale-Refeição e Vale-Alimentação",2000
"3461",2016,"01","JULIO CESAR FILHO","Vale-Refeição e Vale-Alimentação",3000
"3462",2016,"01","LEONARDO ARAUJO","Vale-Refeição e Vale-Alimentação",4000
"3463",2016,"01","LEONARDO PINHEIRO","Vale-Refeição e Vale-Alimentação",3000
"3464",2016,"01","LUCILVIO GIRAO","Vale-Refeição e Vale-Alimentação",2500
"3465",2016,"01","MANOEL DUCA","Vale-Refeição e Vale-Alimentação",1500
"3466",2016,"01","MOISES BRAZ","Vale-Refeição e Vale-Alimentação",1500
"3467",2016,"01","NAUMI AMORIM","Divulgação das Atividades Parlamentares",5900
"3468",2016,"01","NAUMI AMORIM","Vale-Refeição e Vale-Alimentação",5000
"3469",2016,"01","ODILON AGUIAR","Serviços Técnicos Profissionais",7000
"3470",2016,"01","PROFESSOR TEODORO","Divulgação das Atividades Parlamentares",7500
"3471",2016,"01","PROFESSOR TEODORO","Vale-Refeição e Vale-Alimentação",2000
"3472",2016,"01","RACHEL MARQUES","Divulgação das Atividades Parlamentares",1900
"3473",2016,"01","RACHEL MARQUES","Vale-Refeição e Vale-Alimentação",2000
"3474",2016,"01","RENATO ROSENO","Vale-Refeição e Vale-Alimentação",3000
"3475",2016,"01","ROBERIO MONTEIRO","Vale-Refeição e Vale-Alimentação",2000
"3476",2016,"01","ROBERTO MESQUITA","Vale-Refeição e Vale-Alimentação",2000
"3477",2016,"01","SERGIO AGUIAR","Divulgação das Atividades Parlamentares",1200
"3478",2016,"01","SERGIO AGUIAR","Serviços Técnicos Profissionais",6800
"3479",2016,"01","SERGIO AGUIAR","Vale-Refeição e Vale-Alimentação",1000
"3480",2016,"01","TIN GOMES","Convênio com Plano de Saúde",2796.67
"3481",2016,"01","TIN GOMES","Divulgação das Atividades Parlamentares",2350
"3482",2016,"01","TIN GOMES","Vale-Refeição e Vale-Alimentação",3000
"3483",2016,"01","TOMAZ HOLANDA","Vale-Refeição e Vale-Alimentação",4000
"3484",2016,"01","WALTER CAVALCANTE","Divulgação das Atividades Parlamentares",3000
"3485",2016,"01","WALTER CAVALCANTE","Seguros em Geral",876.93
"3486",2016,"01","WALTER CAVALCANTE","Vale-Refeição e Vale-Alimentação",3000
"3487",2016,"01","ZE AILTON BRASIL","Vale-Refeição e Vale-Alimentação",2000
"3488",2016,"02","ADERLANIA NORONHA","Combustíveis e Lubrificantes Automotivos",12000
